seq,Fx,Fy,Fz,Mx,My,Mz
327,-0.307342,-0.252865,-4.99175,-0.0123418,0.0347097,-0.00366629
328,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
329,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
330,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
331,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
332,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
333,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
334,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
335,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
336,-0.2832,-0.233851,-4.97783,-0.0111561,0.032272,-0.00521694
337,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
338,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
339,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
340,-0.280181,-0.23435,-4.97626,-0.00981936,0.0328829,-0.00597492
341,-0.296027,-0.244952,-4.9928,-0.0123528,0.0326202,-0.00440467
342,-0.292995,-0.24545,-4.99122,-0.0110168,0.033228,-0.00516272
343,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
344,-0.301074,-0.250063,-4.99262,-0.0134384,0.0333648,-0.00332123
345,-0.29998,-0.240976,-4.98893,-0.012237,0.0335585,-0.00482625
346,-0.305027,-0.24609,-4.98875,-0.0133222,0.0343032,-0.00374285
